Types	Mut_burden
Bladder-TCC	15354
Bladder-TCC	25212
Bladder-TCC	31114
Bladder-TCC	36432
Bladder-TCC	34116
Bladder-TCC	20222
Bladder-TCC	18936
Bladder-TCC	9910
Bladder-TCC	12531
Bladder-TCC	8970
Bladder-TCC	19689
Bladder-TCC	59185
Bladder-TCC	12575
Bladder-TCC	13451
Bladder-TCC	14030
Bladder-TCC	51896
Bladder-TCC	3451
Bladder-TCC	38004
Bladder-TCC	13331
Bladder-TCC	34842
Bladder-TCC	10131
Bladder-TCC	9621
Bladder-TCC	12007
Bone-Benign	1627
Bone-Benign	670
Bone-Benign	773
Bone-Benign	628
Bone-Benign	842
Bone-Benign	361
Bone-Benign	631
Bone-Benign	372
Bone-Benign	880
Bone-Benign	1062
Bone-Benign	737
Bone-Benign	1009
Bone-Benign	117
Bone-Benign	381
Bone-Benign	181
Bone-Benign	80
Bone-Epith	2810
Bone-Epith	5556
Bone-Epith	2561
Bone-Epith	1776
Bone-Epith	3740
Bone-Epith	1742
Bone-Epith	1547
Bone-Epith	1809
Bone-Epith	2665
Bone-Epith	1130
Bone-Epith	786
Breast-AdenoCA	1929
Breast-AdenoCA	2500
Breast-AdenoCA	11020
Breast-AdenoCA	2117
Breast-AdenoCA	2538
Breast-AdenoCA	3967
Breast-AdenoCA	1493
Breast-AdenoCA	1843
Breast-AdenoCA	2707
Breast-AdenoCA	55654
Breast-AdenoCA	2300
Breast-AdenoCA	2998
Breast-AdenoCA	3169
Breast-AdenoCA	4655
Breast-AdenoCA	6879
Breast-AdenoCA	1961
Breast-AdenoCA	2240
Breast-AdenoCA	9242
Breast-AdenoCA	1255
Breast-AdenoCA	1892
Breast-AdenoCA	1203
Breast-AdenoCA	1712
Breast-AdenoCA	1942
Breast-AdenoCA	1673
Breast-AdenoCA	3289
Breast-AdenoCA	1785
Breast-AdenoCA	2546
Breast-AdenoCA	5791
Breast-AdenoCA	2850
Breast-AdenoCA	2055
Breast-AdenoCA	2062
Breast-AdenoCA	1500
Breast-AdenoCA	5449
Breast-AdenoCA	3107
Breast-AdenoCA	7599
Breast-AdenoCA	1775
Breast-AdenoCA	12716
Breast-AdenoCA	2405
Breast-AdenoCA	2028
Breast-AdenoCA	4363
Breast-AdenoCA	7616
Breast-AdenoCA	2951
Breast-AdenoCA	6676
Breast-AdenoCA	1742
Breast-AdenoCA	23237
Breast-AdenoCA	9003
Breast-AdenoCA	8476
Breast-AdenoCA	3547
Breast-AdenoCA	1863
Breast-AdenoCA	36115
Breast-AdenoCA	2998
Breast-AdenoCA	2310
Breast-AdenoCA	1993
Breast-AdenoCA	1335
Breast-AdenoCA	1484
Breast-AdenoCA	1621
Breast-AdenoCA	5903
Breast-AdenoCA	8178
Breast-AdenoCA	5730
Breast-AdenoCA	5234
Breast-AdenoCA	3650
Breast-AdenoCA	4439
Breast-AdenoCA	2046
Breast-AdenoCA	2845
Breast-AdenoCA	2303
Breast-AdenoCA	2643
Breast-AdenoCA	9804
Breast-AdenoCA	8646
Breast-AdenoCA	4167
Breast-AdenoCA	2867
Breast-AdenoCA	2628
Breast-AdenoCA	65065
Breast-AdenoCA	10361
Breast-AdenoCA	6115
Breast-AdenoCA	5909
Breast-AdenoCA	12000
Breast-AdenoCA	5122
Breast-AdenoCA	6788
Breast-AdenoCA	3327
Breast-AdenoCA	2032
Breast-AdenoCA	5938
Breast-AdenoCA	8974
Breast-AdenoCA	10328
Breast-AdenoCA	5746
Breast-AdenoCA	4916
Breast-AdenoCA	7174
Breast-AdenoCA	11161
Breast-AdenoCA	2493
Breast-AdenoCA	2108
Breast-AdenoCA	9847
Breast-AdenoCA	5190
Breast-AdenoCA	3266
Breast-AdenoCA	4580
Breast-AdenoCA	10544
Breast-AdenoCA	6647
Breast-AdenoCA	4623
Breast-AdenoCA	9037
Breast-AdenoCA	6442
Breast-AdenoCA	9946
Breast-AdenoCA	2899
Breast-AdenoCA	6379
Breast-AdenoCA	7871
Breast-AdenoCA	6730
Breast-AdenoCA	10048
Breast-AdenoCA	2670
Breast-AdenoCA	8434
Breast-AdenoCA	3930
Breast-AdenoCA	2883
Breast-AdenoCA	7376
Breast-AdenoCA	9227
Breast-AdenoCA	11559
Breast-AdenoCA	8813
Breast-AdenoCA	5097
Breast-AdenoCA	21978
Breast-AdenoCA	18803
Breast-AdenoCA	9473
Breast-AdenoCA	8909
Breast-AdenoCA	2445
Breast-AdenoCA	1735
Breast-AdenoCA	4223
Breast-AdenoCA	5441
Breast-AdenoCA	25730
Breast-AdenoCA	13369
Breast-AdenoCA	8206
Breast-AdenoCA	5890
Breast-AdenoCA	7566
Breast-AdenoCA	2186
Breast-AdenoCA	4192
Breast-AdenoCA	4253
Breast-AdenoCA	4541
Breast-AdenoCA	2037
Breast-AdenoCA	1237
Breast-AdenoCA	9084
Breast-AdenoCA	5341
Breast-AdenoCA	8572
Breast-AdenoCA	3972
Breast-AdenoCA	3200
Breast-AdenoCA	5989
Breast-AdenoCA	9305
Breast-AdenoCA	5450
Breast-AdenoCA	4489
Breast-AdenoCA	2320
Breast-AdenoCA	1956
Breast-AdenoCA	6818
Breast-AdenoCA	16453
Breast-AdenoCA	12274
Breast-AdenoCA	4271
Breast-AdenoCA	8066
Breast-AdenoCA	2054
Breast-AdenoCA	11794
Breast-AdenoCA	8785
Breast-AdenoCA	3600
Breast-AdenoCA	3585
Breast-AdenoCA	3847
Breast-AdenoCA	8393
Breast-AdenoCA	8690
Breast-AdenoCA	9916
Breast-AdenoCA	14273
Breast-AdenoCA	9312
Breast-AdenoCA	3122
Breast-AdenoCA	7388
Breast-AdenoCA	4439
Breast-AdenoCA	14769
Breast-AdenoCA	15024
Breast-AdenoCA	3890
Breast-AdenoCA	15804
Breast-AdenoCA	4520
Breast-AdenoCA	11119
Breast-AdenoCA	11830
Breast-AdenoCA	2041
Breast-AdenoCA	3646
Breast-AdenoCA	10077
Breast-AdenoCA	8446
Breast-AdenoCA	4571
Breast-AdenoCA	3445
Breast-AdenoCA	7844
Breast-AdenoCA	6857
Breast-AdenoCA	11946
Breast-AdenoCA	14761
Breast-AdenoCA	3175
Breast-AdenoCA	21520
Breast-AdenoCA	31634
Breast-AdenoCA	6243
Breast-AdenoCA	4452
Breast-AdenoCA	2342
Breast-AdenoCA	2800
Breast-AdenoCA	3654
Breast-AdenoCA	18109
Breast-AdenoCA	2791
Breast-AdenoCA	8351
Breast-AdenoCA	3846
Breast-AdenoCA	5004
Breast-AdenoCA	10898
Breast-AdenoCA	10286
Breast-AdenoCA	9593
Breast-AdenoCA	13609
Breast-AdenoCA	7809
Breast-AdenoCA	23022
Cervix-SCC	9998
Cervix-SCC	7641
Cervix-SCC	6375
Cervix-SCC	2289
Cervix-SCC	3781
Cervix-SCC	4910
Cervix-SCC	8458
Cervix-SCC	13400
Cervix-SCC	4244
Cervix-SCC	6857
Cervix-SCC	8756
Cervix-SCC	8787
Cervix-SCC	3090
Cervix-SCC	4466
Cervix-SCC	3271
Cervix-SCC	3938
Cervix-SCC	7319
Cervix-SCC	6638
